Name;Preview;Price;URL
Трикотажные брюки-джоггеры;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/3/7/3710C-08X-003-1_2.jpg;1299RUB;https://www.reserved.com/ru/ru/3710c-08x
Брюки jogger;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/3/3/3333C-90X-010-1_2.jpg;1299RUB;https://www.reserved.com/ru/ru/3333c-90x
Рубашка поло с воротником-стойкой;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/X/X/XX560-59X-040-1.jpg;799RUB;https://www.reserved.com/ru/ru/xx560-59x
Джинсы wide leg;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/6/0/6049H-90J-010-1_2.jpg;1999RUB;https://www.reserved.com/ru/ru/6049h-90j
Джемпер из текстурированной вязаной ткани;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/6/2/6282H-07X-002-1_4.jpg;1999RUB;https://www.reserved.com/ru/ru/6282h-07x
Футболка с принтом;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/5/9/5975H-99X-010-1_1.jpg;599RUB;https://www.reserved.com/ru/ru/5975h-99x
Футболка с вышивкой;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/6/1/6183H-99X-010-1.jpg;599RUB;https://www.reserved.com/ru/ru/6183h-99x
Джоггеры карго;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/8/3/8386H-99X-001-1.jpg;1999RUB;https://www.reserved.com/ru/ru/8386h-99x
Стеганая куртка;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/6/2/6218H-82X-001-1_1.jpg;3999RUB;https://www.reserved.com/ru/ru/6218h-82x
Куртка в байкерском стиле из экокожи;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/4/8/4840C-99X-001-1_3.jpg;3999RUB;https://www.reserved.com/ru/ru/4840c-99x
Худи;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/Z/U/ZU278-39X-001-1.jpg;1299RUB;https://www.reserved.com/ru/ru/zu278-39x
Брюки carrot;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/6/4/6462H-59J-010-1_1.jpg;1599RUB;https://www.reserved.com/ru/ru/6462h-59j
Футболка с мелким принтом;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/6/1/6187H-99X-040-1_1.jpg;599RUB;https://www.reserved.com/ru/ru/6187h-99x
Мужская рубашка;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/Y/V/YV999-05X-002-1_1.jpg;1299RUB;https://www.reserved.com/ru/ru/yv999-05x
Рубашка хлопчатобумажная slim fit;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/2/8/2803C-00X-001-1_1.jpg;1399RUB;https://www.reserved.com/ru/ru/2803c-00x
